County,CrimesPer100K,Area,Pop100K,Pop18-34,Pop65+,Physicians,BedsPer100K,HSGrad,Bachelors,Poverty,Unemploy,IncKperCapita,Region
"Brown, WI",41.63,529,1.94594,29.6,10.8,289,324.7787702,82.6,17.7,6.7,4.6,18.49,NC
"Leon, FL",121.371,667,1.92493,38.5,8.2,413,427.5480147,84.9,37.1,9.4,3.9,16.422,S
"Brazoria, TX",45.34,1387,1.91707,28.7,7.8,156,165.8781369,75.5,15.1,7.7,5.6,17.951,S
"Bell, TX",56.859,1059,1.91088,34.6,8.8,513,299.3385247,79.1,17.2,12.2,6.7,13.536,S
"Kitsap, WA",47.414,396,1.89731,27.7,10.7,233,128.6031276,86.6,19.8,7.5,5.2,17.009,W
"Richmond, GA",94.445,324,1.89719,31.1,10,1032,941.919365,70.9,17.3,14.8,4.9,15.941,S
"McLennan, TX",87.171,1042,1.89123,30,13.6,301,296.103594,71.6,16.6,13.9,6.4,14.925,S
"Yakima, WA",80.176,4296,1.88823,25.1,13,231,274.3309872,66.1,13.7,15.6,11.6,15.374,W
"Davis, UT",33.409,305,1.87941,26.2,6.1,166,131.9563054,89.9,23.5,5.5,4.5,13.394,W
"Ottawa, MI",32.7,566,1.87768,28.9,9.8,163,166.6950705,79.8,18.7,3.8,6.5,18.36,NC
"Howard, MD",48.348,252,1.87328,29.8,6.1,695,111.0351896,91.1,46.9,2.2,4.1,27.546,S
"Barnstable, MA",39.876,396,1.86605,22.1,22,336,205.7822674,88.4,28.1,5.8,11.1,23.267,NE
"Larimer, CO",47.927,2601,1.86136,32.1,9.6,278,219.731809,88.6,32.3,6.6,4.1,17.14,W
"Beaver, PA",21.968,435,1.86093,23.6,16.9,197,331.0172871,74.9,11.9,10.8,9.7,15.162,NE
"McHenry, IL",26.49,604,1.83241,26.3,9.4,160,202.4656054,84.5,21,2.5,7.1,21.855,NC
"Peoria, IL",68.278,620,1.82827,26,14.2,581,666.7505347,77.9,19.5,11.3,7.2,18.342,NC
"Montgomery, TX",51.97,1044,1.82201,25.5,8.6,125,186.6070988,75.5,19.4,9.4,5.5,17.084,S
"Harford, MD",36.979,440,1.82132,28.8,8.3,247,182.8344278,81.6,21.5,4.1,6.7,20.941,S
"Butte, CA",49.083,1640,1.8212,28.2,17.3,327,343.1803207,77.6,19.5,12.2,9.4,15.051,W
"Clayton, GA",84.696,143,1.82052,32.4,5.8,191,190.0555885,77.2,14.7,7.3,5.8,16.171,S
"Durham, NC",85.116,291,1.81835,33.7,10.7,1944,822.723898,78.9,33.4,8.7,3.6,19.238,S
"Alachua, FL",100.322,874,1.81596,40.1,9.3,1180,603.5375229,82.7,34.6,14.4,4.2,16.058,S
"Saratoga, NY",29.132,812,1.81276,28.4,10.3,215,121.9135462,83,25.2,4.4,5.9,18.857,NE
"Muscogee, GA",63.89,216,1.79278,30.6,10.8,360,651.5021363,71.5,16.6,14.9,4.6,15.505,S
"Merced, CA",48.133,1929,1.78403,28.2,9.2,185,188.8981688,63.1,12,15.4,14.6,13.961,W
"Sangamon, IL",66.872,868,1.78386,25.8,13.8,600,745.5742043,81.8,22.4,7.2,4.8,19.601,NC
"Gaston, NC",67.764,357,1.75093,27.3,12.1,142,210.1740218,60.9,10.8,8.2,6.2,16.319,S
"Racine, WI",63.473,333,1.75034,26,12,234,303.9409486,76.4,16.5,7.9,6.5,18.426,NC
"Buncombe, NC",54.41,656,1.74821,24.8,16.1,469,414.7099033,74.5,19.1,8.2,4.9,16.934,S
"Cleveland, OK",69.979,536,1.74253,33.9,6.7,217,183.0671495,83.9,25.9,7,4.8,14.443,S
"Litchfield, CT",20.639,920,1.74092,25.4,14.1,278,236.0820715,80.9,25,2.4,7,25.161,NE
"Champaign, IL",66.511,997,1.73025,41.6,8.8,382,465.2506863,87.5,34.1,8,4.5,16.957,NC
"Placer, CA",51.529,1404,1.72796,23.5,12,329,186.3469062,85.1,22.7,5.3,6.8,20.168,W
"Jefferson, MO",18.252,657,1.7138,28.5,8.3,61,134.2046913,71.6,9,6,8.7,15.896,NC
"Arlington_County, VA",73.279,26,1.70936,37.6,11.3,615,456.8961483,87.5,52.3,4.3,3.6,30.242,S
"Newport_News_City, VA",69.252,68,1.70045,33.9,9.3,354,491.6345673,79.3,18.4,12.2,6.5,15.327,S
"Calcasieu, LA",38.059,1071,1.68134,26.6,10.9,248,502.5753268,70.3,14.7,15.5,7.8,14.968,S
"Lexington, SC",58.552,701,1.67611,27.8,8.9,145,154.5244644,77.3,21,6.3,4.1,18.126,S
"Harrison, MS",42.591,581,1.65365,30,10.8,313,462.0082847,74.7,16.3,15.4,6.7,13.691,S
"Ulster, NY",28.439,1127,1.65304,27.8,13,258,249.842714,76.6,21.6,5.6,5.9,18.824,NE
"Vanderburgh, IN",50.921,235,1.65058,27,15.7,411,833.6463546,75.2,16,9.1,5.7,18.093,NC
"Lafayette, LA",64.329,270,1.64762,31.1,8.3,361,617.8609145,73.3,22.5,16.2,5,16.868,S
"York, ME",36.619,991,1.64587,26.4,12.6,172,245.4628859,79.5,19,4.7,6.9,17.908,NE
"Cambria, PA",19.549,688,1.63029,23,18.7,301,547.1419195,71.2,10.8,11.2,9.2,14.473,NE
"Wyandotte, KS",116.684,151,1.61993,27.4,13,494,629.0395264,69.9,10.3,13.9,7.4,14.134,NC
"Berrien, MI",75.779,571,1.61378,25.2,13.7,199,426.328248,74.7,16.7,11.6,9.1,16.232,NC
"Thurston, WA",48.884,727,1.61238,25.3,11.7,283,310.1005966,86.5,24.7,7.1,5.9,17.312,W
"Kent, RI",45.316,170,1.61135,26.2,15.1,264,222.7945512,76.8,20.5,3.7,8.6,20.086,NE
"Shawnee, KS",86.007,550,1.60976,26.2,13.1,451,410.6202167,84.4,22.3,7.4,4.7,19.558,NC
"Muskegon, MI",76.618,509,1.58983,25.8,13,182,415.1387255,74.2,11.1,12.4,12,14.767,NC
"Weber, UT",58.05,576,1.5833,26,11.1,266,361.9023558,82.5,18,7.8,5.7,15.301,W
"Elkhart, IN",48.483,464,1.56198,26.8,11.2,164,306.0218441,72.8,14.2,5.3,6.4,16.77,NC
"Rensselaer, NY",34.301,654,1.54429,29.8,13.2,213,398.8888097,77.7,19.5,6.6,6.3,17.774,NE
"Clay, MO",72.257,397,1.53411,28.3,10.4,108,451.7277118,84.7,20,4.2,5.7,18.395,NC
"Schuylkill, PA",13.887,779,1.52585,22.9,20,147,415.5061113,68.4,8.1,7.7,9.7,15.853,NE
"Lake, FL",46.672,953,1.52104,19,27.5,167,436.5434177,70.6,12.7,7.9,8.9,17.496,S
"Collier, FL",61.973,2026,1.52099,22.4,22.8,282,283.3680695,79,22.3,6.4,7.5,25.589,S
"Butler, PA",22.498,789,1.52013,27,13.5,127,171.6958418,78.6,15.6,7.1,6.8,17.251,NE
"Chesapeake_City, VA",55.45,341,1.51976,28.6,8.4,212,138.1797126,77.1,16.9,7,6.1,16.924,S
"Smith, TX",77.405,929,1.51309,26.2,13.7,349,525.4148795,75.7,19.8,12.6,6.6,17.511,S
"Tuscaloosa, AL",82.227,1325,1.50522,33.3,11.4,299,485.6432947,69.6,20,13.5,5.4,15.113,S
"Frederick, MD",32.881,663,1.50208,28.7,9.4,172,160.4441841,80.4,22,3.5,6,19.954,S
"Clermont, OH",34.051,452,1.50187,28.1,8.7,82,100.5413251,72.8,14.5,7.4,6,16.231,NC
"St._Lucie, FL",65.539,573,1.50171,22.9,21,176,283.0107011,71.7,13.1,8.5,13.8,14.137,S
"Bibb, GA",84.692,250,1.49967,27.5,12.9,438,673.4814993,68.2,17,15.9,4.1,17.548,S
"Onslow, NC",50.087,767,1.49838,49.7,4.4,104,88.7625302,83,13.4,9.8,5.6,10.19,S
"Jackson, MI",57.627,707,1.49756,27.1,12.3,127,382.6223991,77.7,12.9,9.4,9.9,15.75,NC
"Schenectady, NY",42.63,206,1.49285,26.1,16.5,403,482.968818,80.7,23,5.7,5.6,20.679,NE
"Rock_Island, IL",48.103,427,1.48723,24.9,15,209,517.0686444,77.4,15,10.2,7.5,17.818,NC
"Clark, OH",68.662,400,1.47548,25.3,13.8,173,313.7961884,73.4,12.2,10.4,6.5,16.676,NC
"Shasta, CA",49.893,3786,1.47036,22.8,14.1,267,318.2893985,78.4,13.7,11,10.3,16.277,W
"Penobscot, ME",32.394,3396,1.46601,30,11.5,268,407.9099051,79.1,17.7,9.5,8,15.521,NE
"Hampshire, MA",17.378,529,1.46568,38.2,11.6,348,161.0174117,83,31.9,5.7,7.7,17.853,NE
"Jackson, OR",48.979,2785,1.46389,22.1,16.2,263,356.5841696,80.1,17.6,9.7,7.6,15.582,W
"Washington, MN",36.773,392,1.45896,26.5,6.6,113,63.0586171,90,26.2,3.6,4.6,20.682,NC
"St._Clair, MI",45.108,725,1.45607,25.9,12.3,143,296.0022526,74.8,10.7,9.2,11.8,17.48,NC
"Fayette, PA",24.85,790,1.45351,22.9,18,124,281.3878129,67.8,9.3,17.6,9.4,14.051,NE
"Anderson, SC",51.826,718,1.45196,25.5,13.6,199,314.0582385,64,12.9,8.6,6.6,14.205,S
"St._Tammany, LA",30.773,854,1.44508,24.2,8.9,282,354.305644,76.9,23.1,11.1,6.2,17.129,S
"Horry, SC",86.489,1134,1.44053,28.2,12.7,175,350.5654169,74.3,16,11.6,7.7,14.693,S
"Okaloosa, FL",35.84,936,1.43776,30.8,9.3,178,335.2437124,83.8,21,7.8,6.7,15.803,S
"Sullivan, TN",43.427,413,1.43596,24.6,14.3,377,683.8630603,66.8,15.6,10.4,4.4,15.747,S
"Middlesex, CT",23.807,369,1.43196,28.4,13.1,340,164.1107293,82.6,28.2,2.6,5.8,24.132,NE
"Portage, OH",19.42,492,1.42585,33.6,9.4,101,199.8807729,79.3,17.6,7.6,6,16.031,NC
"Ouachita, LA",74.583,611,1.42191,28.3,11.2,268,733.5204057,71.6,18.9,19.6,6.4,13.869,S
"Kenton, KY",48.757,163,1.42031,28.3,11.5,263,516.0845168,74.4,17,8.2,5.4,16.935,S
"Chautauqua, NY",36.492,1062,1.41895,25.7,15.7,164,460.1994433,74.4,14.2,9.9,7.7,15.197,NE
"Yolo, CA",75.483,1012,1.41092,36.5,9.6,339,119.0712443,79.1,30.3,9.8,7.2,19.727,W
"Outagamie, WI",34.588,640,1.4051,28.2,11.1,228,363.6751833,81.5,16.7,4.6,4.9,17.182,NC
"Winnebago, WI",43.971,439,1.4032,30.3,12.8,242,376.2827822,80.6,18.2,5.3,4.8,17.645,NC
"Williamson, TX",41.017,1124,1.39551,29.1,7.6,88,132.5680217,81.4,24.6,7.6,3.8,14.934,S
"Rock, WI",54.785,721,1.3951,26.2,12.6,171,351.9460971,78.2,13.3,7.8,9.7,16.742,NC
"Berkshire, MA",27.714,931,1.39352,26,16.9,375,429.1291119,77.9,20.9,6.3,10.1,20.068,NE
"Cumberland, NJ",65.707,489,1.38053,26.7,13.5,181,386.8079651,63.4,10.8,10.2,10.7,16.819,NE
"Greene, OH",38.184,415,1.36731,28.5,9.8,134,153.5862387,82.4,26,7.1,5.2,18.161,NC
"Calhoun, MI",72.142,709,1.35982,25.1,13.3,172,416.2315601,76.8,13.8,11,8.5,15.944,NC
"Dona_Ana, NM",65.309,3807,1.3551,31.4,8.8,171,177.1087005,70.4,21.9,20.7,7.4,11.379,W
"Hampton_City, VA",62.604,52,1.33793,33,9.6,163,187.6032378,79.7,19.1,8.8,6.8,14.743,S
"Monroe, MI",50.344,551,1.336,26.1,10.4,83,136.2275449,74.1,10.5,6.9,11.1,17.278,NC
"Webb, TX",91.58,3357,1.33239,28.5,7.9,107,286.7028423,47.8,11.1,33.1,9.8,8.973,S
"Weld, CO",59.937,3993,1.31821,29.6,10.2,172,213.1678564,74.9,18.4,10.6,4.5,15.874,W
"Chittenden, VT",35.967,539,1.31761,35.8,8.1,696,434.8783024,86.7,34,5,4.4,19.94,NE
"Rapides, LA",46.376,1323,1.31556,26.8,12,246,583.7818115,69,14.6,18.6,7.1,14.615,S
"York, SC",72.435,683,1.31497,28.7,10.6,121,209.8907199,67.5,16.9,7.6,5.5,16.713,S
"Sussex, NJ",24.24,521,1.30943,26.3,8.9,133,199.3233697,85.1,24.9,2.5,6.8,24.405,NE
"Madison, IN",41.119,452,1.30669,25.5,14,140,501.266559,73.5,11.7,10.3,7.5,16.018,NC
"Tippecanoe, IN",47.022,500,1.30598,42.3,9.5,232,486.2249039,85.2,30.7,6.8,3.2,15.847,NC
"Blair, PA",24.483,526,1.30542,23.7,17,213,500.9881877,75,10.5,11,9,14.779,NE
"McLean, IL",46.052,1184,1.2918,37,10.5,171,455.1788203,84.7,29,5.9,4.6,18.961,NC
"Porter, IN",31.133,418,1.28932,26.4,9.8,170,293.9534018,82.4,18.5,4.6,4.5,17.566,NC
"Tolland, CT",13.978,410,1.28699,33.9,9,164,134.4221789,84.7,29.2,2.7,5.9,21.944,NE
"Licking, OH",10.756,687,1.283,26.2,11.8,101,149.6492595,76.4,13,8.3,6.3,16.412,NC
"Kenosha, WI",51.615,273,1.28181,27.5,12.6,140,260.5690391,75.1,12.7,7.6,6.4,17.338,NC
"Whatcom, WA",55.329,2120,1.2778,28.8,12.5,203,167.4753483,83.2,22,7.4,6.3,16.002,W
"Bay, FL",67.987,764,1.26994,27.7,12,178,376.3957352,74.7,15.7,11.2,8,14.814,S
"Davidson, NC",44.696,552,1.26677,26.9,12,78,174.459452,64.2,10,7.3,5.9,15.079,S
"Richland, OH",63.241,497,1.26137,25,12.9,144,367.0612112,73.5,11.6,8.4,9.4,16.191,NC
"El_Dorado, CA",40.891,1712,1.25995,23,11.8,147,129.3702131,85.9,20.8,5.8,6.1,19.25,W
"Minnehaha, SD",45.433,809,1.23809,29.7,11.6,376,736.6185011,83.1,21.3,5.4,2.5,18.526,NC
"Centre, PA",33.413,1108,1.23786,45,9,178,218.1183656,83.6,32.3,6.2,6.1,15.476,NE
"Tazewell, IL",25.386,649,1.23692,23.9,13.2,98,240.1125376,78.6,13.6,7.1,7.4,18.008,NC
"Carroll, MD",27.802,449,1.23372,26.6,10.2,142,99.69847291,78.5,19.6,2.5,5.7,22.002,S
"Pueblo, CO",70.215,2389,1.23051,24.1,15.2,259,451.0324987,73.9,14,16.7,7,14.197,W
"Wichita, TX",87.655,628,1.22378,29.5,12.8,243,373.4331334,75.1,16.5,12.5,6.8,17.119,S
"Medina, OH",4.601,422,1.22354,24.5,9.7,125,184.70994,82.4,18,4.1,5.8,18.892,NC
"Brazos, TX",67.314,586,1.21862,49.4,6.7,170,228.947498,79.8,35.8,14.9,3.6,12.641,S
"Oswego, NY",29.416,953,1.21771,29.8,10.7,79,220.9064556,74.7,12.9,8.1,10,14.834,NE
"Franklin, PA",26.057,772,1.21082,25.5,14.4,136,244.4624304,69.4,12.4,5.7,6.7,16.281,NE
"Mercer, PA",22.95,672,1.21003,24.5,17.2,150,539.6560416,75.1,13.6,10.1,7.2,15.177,NE
"Aiken, SC",56.516,1073,1.2094,26.7,11.4,128,157.9295518,70.7,17.2,11,4.9,17.898,S
"Hawaii, HI",60.058,4028,1.20317,22.5,12.6,182,324.9748581,77.7,18.5,10.9,4,16.728,W
"New_Hanover, NC",98.866,199,1.20284,29,12.5,297,460.5766353,78.1,21.2,9.9,5.9,17.119,S
"Merrimack, NH",27.707,935,1.20005,27.7,12.1,237,306.6538894,83.2,25.4,3.6,7.1,20.6,NE
"Delaware, IN",8.892,393,1.19659,32.9,12.7,217,412.8398198,74.5,16.5,10.3,6.1,15.697,NC
"Taylor, TX",56.705,916,1.19655,30.7,12,204,390.2887468,75.4,20.7,11.2,5.9,16.021,S
"Humboldt, CA",48.162,3573,1.19118,27.5,12.3,207,261.0856462,80.5,20,12.8,8.8,16.138,W
"Ector, TX",123.119,901,1.18934,27.1,9.3,153,327.0721577,66.9,11.4,16.6,6.6,14.766,S
"Stearns, MN",34.523,1345,1.18791,33.6,10.5,199,556.4394609,78.3,17.5,7.3,5.4,14.757,NC
"Lycoming, PA",32.23,1235,1.1871,25.4,15.1,232,562.7158622,74.5,12.3,8.4,8,15.778,NE
"Rutherford, TN",51.21,619,1.1857,33.1,8.4,133,181.3274859,73.9,18.7,7.6,5.4,15.501,S
"Catawba, NC",57.68,400,1.18412,27.2,11.9,179,391.8521771,66.7,14.2,4.8,6.4,17.396,S
"Macon, IL",52.071,581,1.17206,24.1,14.5,171,618.5690152,76.2,14.8,9.8,8.9,18.021,NC
"Pinal, AZ",53.919,5370,1.16379,24.4,13.7,61,265.5118191,65.5,8.2,18.7,7.9,11.396,W
"Calhoun, AL",42.238,609,1.16034,28.8,12.4,133,418.842753,67.4,14.2,11.7,7.3,13.776,S
"Kennebec, ME",36.099,868,1.15904,26.1,13.4,241,428.8031474,78.9,18.1,7.3,6.8,17.131,NE
"Livingston, MI",32.513,568,1.15645,25.3,8.2,68,80.4185222,85.6,19.6,3,8.1,21.153,NC
"Marathon, WI",31.672,1545,1.154,25.9,12.7,172,220.1039861,75.9,13.5,5.5,5.9,16.305,NC
"Jackson, MS",41.452,727,1.15243,25.9,9.4,170,300.2351553,74.4,14.4,14,7.1,13.475,S
"Florence, SC",73.646,799,1.14344,26.2,11.2,211,639.2989575,64.3,14.8,15.9,5.9,14.961,S
"Lebanon, PA",25.663,362,1.13744,25.3,15,162,172.3167815,70,11.8,5.2,5.9,16.5,NE
"Yellowstone, MT",34.201,2635,1.13419,25.6,12.4,262,488.4543154,83.7,21.5,9,5.3,17.272,W
"Washington, AR",53.982,950,1.13409,32,11.2,208,574.0285163,73.2,20,9.8,3.7,14.736,S
"Wood, OH",33.186,617,1.13269,34.5,10.2,128,109.4739072,83.8,21.9,5,6.6,17.522,NC
"Benton, WA",55.517,1703,1.1256,25.1,10.1,142,246.9793888,83.9,23.3,8.9,6.8,17.332,W
"Boone, MO",48.55,685,1.12379,40.9,8.4,746,910.3124249,84.8,36.5,9.3,3.2,17.175,NC
"St._Lawrence, NY",34.392,2686,1.11974,31.2,12.1,132,337.5783664,73.1,15.1,12.8,9.8,12.704,NE
"Bay, MI",43.402,444,1.11723,25.4,13.4,101,371.4544006,74,11,10.2,9.2,16.499,NC
"Comanche, OK",53.63,1069,1.11486,34.5,8.7,127,311.249843,81.1,18.4,13.3,6.6,13.228,S
"Alexandria_City, VA",76.783,15,1.11183,38.3,10.3,652,595.4147666,86.9,48.5,4.7,4.6,31.699,S
"Kent, DE",52.67,591,1.10993,29.7,10.3,123,173.8848396,73.1,15,8.7,7.6,14.946,NE
"Charlotte, FL",33.71,694,1.10975,16.6,33.8,183,569.4976346,75.7,13.4,5.2,7.2,16.362,S
"Jefferson, NY",27.618,1272,1.10943,32.7,10.9,124,302.8582245,76.4,13.6,9.5,11,15.205,NE
"Napa, CA",45.646,754,1.10765,24.5,16.5,345,919.9656931,80.7,22.3,4.6,5.9,22.668,W
"Rowan, NC",47.313,511,1.10605,26,15.2,114,220.6048551,66,11.7,6.8,5.4,15.691,S
"Washington, RI",34.889,333,1.10006,31,12.3,162,219.0789593,82.8,29.1,3.7,6.7,19.449,NE
"Allen, OH",43.132,405,1.09755,26.2,13.4,168,510.2273245,76.1,11.4,10.4,7.3,16.542,NC
"Imperial, CA",73.575,4175,1.09303,25.5,10.2,82,202.1902418,53.2,9.7,20.8,21.3,14.523,W
"Monroe, IN",15.205,394,1.08978,45.8,8.6,172,261.5206739,82.1,32.9,9.5,3.7,14.266,NC
"Hamilton, IN",15.596,398,1.08936,25.1,8.2,257,111.9923625,88.7,36.2,2.6,2.8,25.681,NC
"Columbiana, OH",8.294,533,1.08276,23.4,14.9,80,447.9293657,71.8,8.5,13,6.7,12.597,NC
"Alamance, NC",38.369,431,1.08213,27.3,14.8,132,314.1951522,67.9,14.6,6,4.5,17.306,S
"Pitt, NC",42.65,652,1.07924,35.4,9.9,496,540.194952,71,21.9,15.5,5.5,15.852,S
"Hunterdon, NJ",19.188,430,1.07776,25.6,9.5,184,168.8687648,85.9,34.6,1.8,4.1,30.255,NE
"Osceola, FL",89.717,1322,1.07728,27.1,13.9,98,270.1247587,73.7,11.2,6.9,6.7,16.451,S
"Yavapai, AZ",36.69,8124,1.07714,18.3,23.8,114,147.6131236,78.9,17.7,9.8,5.4,13.681,W
"La_Porte, IN",56.236,598,1.07066,26,13.1,149,484.7477257,73.9,11.7,7.8,5.8,16.655,NC
"La_Salle, IL",27.892,1135,1.06913,23.8,17.2,104,471.4113344,73.1,10.5,8.7,9.6,16.119,NC
"Yuma, AZ",50.648,5514,1.06895,27.4,13.8,118,184.2929978,64.9,12.7,15.4,17.8,11.49,W
"Midland, TX",70.781,900,1.06611,26.8,9,139,312.3505079,76.8,26.4,11.5,5.4,19.345,S
"Randolph, NC",27.594,788,1.06546,27.1,12.2,69,136.0914535,62,9.1,6.5,4.8,14.721,S
"Olmsted, MN",40.481,653,1.0647,29.3,10,1814,1349.675965,88,29.5,4.5,3.3,20.515,NC
"Vigo, IN",32.373,403,1.06107,30.2,15.1,179,542.8482569,76,18.1,10.7,5,15.036,NC
"Clay, FL",43.025,601,1.05986,26.3,8.5,164,261.3552733,81.2,17.9,5.4,5.9,16.029,S
"Androscoggin, ME",38.192,470,1.05259,27.9,13.4,198,500.6697765,71.8,12.6,8.7,9.7,16.154,NE
"Robeson, NC",41.054,949,1.05179,26.7,10.7,83,267.1635973,57,11,20.7,8.9,10.849,S
"Gregg, TX",87.481,274,1.04948,26.4,13.3,166,400.1981934,75.8,17.7,13.4,8.2,16.775,S
"Wayne, NC",44.733,553,1.04666,29.7,10.2,113,251.2754858,71.2,12.7,11.9,7.3,13.35,S
"Strafford, NH",35.027,369,1.04233,34.8,10.7,139,227.3752075,79.8,21.7,5.1,6.5,17.182,NE
"Sheboygan, WI",42.675,514,1.03877,25.4,14.6,114,405.2870222,77.4,13.8,4.5,5.6,18.061,NC
"Fairfield, OH",6.041,506,1.03461,25.2,11.3,86,188.4768174,78.8,15.5,6.8,6.3,16.342,NC
"Sumner, TN",31.806,529,1.03281,25.5,10.2,96,250.7721653,70.6,14.4,7,6.8,16.514,S
"Cass, ND",33.06,1766,1.02874,34.4,9.8,343,625.0364524,87.1,26.5,7.3,2.5,16.275,NC
"Sumter, SC",69.546,666,1.02637,31.6,9.4,88,208.5018073,69.8,15,16.9,9.4,11.803,S
"Sarpy, NE",26.213,241,1.02583,30.4,4.8,39,155.9712623,91,25.4,3.5,2.6,16.137,NC
"Windham, CT",13.626,513,1.02525,28.5,12.5,123,247.7444526,71.1,16.8,6,9.2,18.07,NE
"Kings, CA",43.846,1390,1.01469,33.7,7.7,82,177.394081,65.6,9,15,12.8,13.907,W
"Wayne, OH",23.428,555,1.01461,26.3,11.6,84,152.7680587,73.6,13.9,8.4,5.9,16.464,NC
"Charles, MD",52.188,461,1.01154,29.9,6.5,67,102.8135318,81,16.2,3.7,4.9,19.317,S
"Hernando, FL",43.653,478,1.01115,16.4,30.7,98,286.802156,70.5,9.7,7.9,8.2,13.919,S
"Martin, FL",50.357,556,1.009,20.4,27.5,193,274.5292369,79.7,20.3,5,9.8,27.125,S
"Montgomery, TN",65.046,539,1.00498,35.7,7.9,87,187.0683994,77.9,16.5,10.8,8,13.169,S
"Maui, HI",71.034,1159,1.00374,26.2,11.3,192,181.3218563,77,17.8,5.7,3.2,18.504,W
"Morgan, AL",46.91,582,1.00043,26.3,11.7,122,463.8005658,69.4,15.5,9.4,7.1,16.458,S
